School,Street,City,District,County,State,Zip,Ranking,StatusType,Latitude,Longitude
Community United Elementary,6701 International Boulevard,Oakland,Oakland Unified,Alameda,CA,94605.0,1,Active,37.761424,-122.19188
ARISE High,"3301 East 12th Street, Suite 205",Oakland,Oakland Unified,Alameda,CA,94609.0,1,Active,37.776162,-122.22506000000001
Civicorps Corpsmember Academy,101 Myrtle Street,Oakland,Oakland Unified,Alameda,CA,94605.0,,Active,37.798778999999996,-122.28556
Futures Elementary,6701 International Boulevard,Oakland,Oakland Unified,Alameda,CA,94610.0,1,Active,37.761424,-122.19188
Global Family,2035 40th Avenue,Oakland,Oakland Unified,Alameda,CA,94607.0,1,Active,37.779348999999996,-122.21325
Learning Without Limits,2035 40th Avenue,Oakland,Oakland Unified,Alameda,CA,94607.0,1,Active,37.779348999999996,-122.21325
East Oakland Pride Elementary,8000 Birch Street,Oakland,Oakland Unified,Alameda,CA,94601.0,1,Active,37.759065,-122.17445
Greenleaf Elementary,6328 East 17th Street,Oakland,Oakland Unified,Alameda,CA,94608.0,6,Active,37.764386,-122.19483999999999
West Oakland Middle,991 14th Street,Oakland,Oakland Unified,Alameda,CA,94609.0,1,Active,37.80873,-122.28272
Oakland International High,4521 Webster Street,Oakland,Oakland Unified,Alameda,CA,94608.0,1,Active,37.833534,-122.26018
Ralph J. Bunche High,1240 18th Street,Oakland,Oakland Unified,Alameda,CA,94605.0,1,Active,37.8132,-122.28783999999999
Gateway to College at Laney College,900 Fallon Street,Oakland,Oakland Unified,Alameda,CA,94601.0,,Active,37.797155,-122.26377
Aspire ERES Academy,1936 Courtland Avenue,Oakland,Oakland Unified,Alameda,CA,94607.0,7,Active,37.775676000000004,-122.21206000000001
Infant and Preschool Program,4521 Webster Street,Oakland,Oakland Unified,Alameda,CA,94605.0,,Active,37.833836,-122.26061999999999
Vincent Academy,1911 Union Street,Oakland,Oakland Unified,Alameda,CA,94605.0,2,Active,37.814131,-122.28735
Castlemont High,8601 MacArthur Boulevard,Oakland,Oakland Unified,Alameda,CA,94607.0,1,Active,37.759536,-122.16291000000001
Fremont High,4610 Foothill Boulevard,Oakland,Oakland Unified,Alameda,CA,94619.0,,Active,37.7744,-122.20971999999999
LPS Oakland R & D Campus,"8601 MacArthur Boulevard, Building 100",Oakland,Oakland Unified,Alameda,CA,94608.0,4,Active,37.759536,-122.16291000000001
Rudsdale Continuation,8251 Fontaine Street,Oakland,Oakland Unified,Alameda,CA,94608.0,1,Active,37.766251000000004,-122.15438999999999
LIFE Academy,2101 35th Avenue,Oakland,Oakland Unified,Alameda,CA,94605.0,2,Active,37.784286,-122.21676000000001
Lighthouse Community Charter,444 Hegenberger Street,Oakland,Oakland Unified,Alameda,CA,94609.0,5,Active,37.73705,-122.19663
Dewey Academy,1111 2nd Avenue,Oakland,Oakland Unified,Alameda,CA,94619.0,,Active,37.796704999999996,-122.25816999999999
Oakland High,1023 MacArthur Boulevard,Oakland,Oakland Unified,Alameda,CA,94605.0,1,Active,37.80529,-122.23652
Oakland Technical High,4351 Broadway,Oakland,Oakland Unified,Alameda,CA,94619.0,4,Active,37.831725,-122.25413
Skyline High,12250 Skyline Boulevard,Oakland,Oakland Unified,Alameda,CA,94601.0,1,Active,37.797495,-122.1636
Oakland School for the Arts,530 18th Street,Oakland,Oakland Unified,Alameda,CA,94605.0,9,Active,37.807834,-122.27113
Allendale Elementary,3670 Penniman Avenue,Oakland,Oakland Unified,Alameda,CA,94606.0,1,Active,37.788641999999996,-122.20516
Bella Vista Elementary,1025 East 28th Street,Oakland,Oakland Unified,Alameda,CA,94607.0,6,Active,37.800354999999996,-122.23708
Brookfield Elementary,401 Jones Avenue,Oakland,Oakland Unified,Alameda,CA,94610.0,1,Active,37.734711,-122.189
Burckhalter Elementary,3994 Burckhalter Avenue,Oakland,Oakland Unified,Alameda,CA,94608.0,3,Active,37.775578,-122.16678999999999
Carl B. Munck Elementary,11900 Campus Drive,Oakland,Oakland Unified,Alameda,CA,94611.0,5,Active,37.794753,-122.17381999999999
Howard Elementary,8755 Fontaine Street,Oakland,Oakland Unified,Alameda,CA,94609.0,4,Active,37.76215,-122.15135
Cleveland Elementary,745 Cleveland Street,Oakland,Oakland Unified,Alameda,CA,94602.0,10,Active,37.804369,-122.24405
Crocker Highlands Elementary,525 Midcrest Road,Oakland,Oakland Unified,Alameda,CA,94602.0,10,Active,37.811364000000005,-122.22738000000001
Fruitvale Elementary,3200 Boston Avenue,Oakland,Oakland Unified,Alameda,CA,94601.0,1,Active,37.796228,-122.21406999999999
Garfield Elementary,1640 22nd Avenue,Oakland,Oakland Unified,Alameda,CA,94601.0,2,Active,37.786684,-122.23578
Garfield Elementary,1640 22nd Avenue,Oakland,Oakland Unified,Alameda,CA,94601.0,3,Active,37.786684,-122.23578
Garfield Elementary,13050 Aurora Drive,San Leandro,San Leandro Unified,Alameda,CA,94578.0,2,Active,37.70401,-122.18606000000001
Garfield Elementary,13050 Aurora Drive,San Leandro,San Leandro Unified,Alameda,CA,94578.0,3,Active,37.70401,-122.18606000000001
Glenview Elementary,4215 La Cresta Avenue,Oakland,Oakland Unified,Alameda,CA,94611.0,8,Active,37.805477,-122.21876999999999
Grass Valley Elementary,4720 Dunkirk Avenue,Oakland,Oakland Unified,Alameda,CA,94619.0,3,Active,37.753009999999996,-122.12585
Kaiser Elementary,25 South Hill Court,Oakland,Oakland Unified,Alameda,CA,94610.0,7,Active,37.853077,-122.23181000000001
New Highland Academy,8521 A Street,Oakland,Oakland Unified,Alameda,CA,94619.0,1,Active,37.752093,-122.17863999999999
Horace Mann Elementary,5222 Ygnacio Avenue,Oakland,Oakland Unified,Alameda,CA,94621.0,2,Active,37.77355,-122.20245
Joaquin Miller Elementary,5525 Ascot Drive,Oakland,Oakland Unified,Alameda,CA,94601.0,9,Active,37.818545,-122.20177
Lafayette Elementary,1700 Market Street,Oakland,Oakland Unified,Alameda,CA,94601.0,1,Active,37.810356,-122.27991000000002
Manzanita Community,2409 East 27th Street,Oakland,Oakland Unified,Alameda,CA,94607.0,1,Active,37.792204,-122.2239
Bridges Academy,1325 53rd Avenue,Oakland,Oakland Unified,Alameda,CA,94608.0,1,Active,37.767781,-122.20653
Montclair Elementary,1757 Mountain Boulevard,Oakland,Oakland Unified,Alameda,CA,94602.0,10,Active,37.831092,-122.21281
Parker Elementary,7929 Ney Avenue,Oakland,Oakland Unified,Alameda,CA,94603.0,7,Active,37.765640000000005,-122.16559
Peralta Elementary,460 63rd Street,Oakland,Oakland Unified,Alameda,CA,94603.0,10,Active,37.848963,-122.25881000000001
Piedmont Avenue Elementary,4314 Piedmont Avenue,Oakland,Oakland Unified,Alameda,CA,94619.0,5,Active,37.829071,-122.24878999999999
Redwood Heights Elementary,4401 39th Avenue,Oakland,Oakland Unified,Alameda,CA,94609.0,7,Active,37.797077,-122.18626
Madison Park Academy TK-5,470 El Paseo Drive,Oakland,Oakland Unified,Alameda,CA,94621.0,1,Active,37.728041,-122.17748999999999
Esperanza Elementary,10315 E Street,Oakland,Oakland Unified,Alameda,CA,94602.0,4,Active,37.737501,-122.17355
Thornhill Elementary,5880 Thornhill Drive,Oakland,Oakland Unified,Alameda,CA,94603.0,10,Active,37.836187,-122.21152
Claremont Middle,5750 College Avenue,Oakland,Oakland Unified,Alameda,CA,94612.0,2,Active,37.845752000000005,-122.25183999999999
Frick Middle,2845 64th Avenue,Oakland,Oakland Unified,Alameda,CA,94621.0,1,Active,37.771513,-122.18348999999999
Hoover Elementary,890 Brockhurst Street,Oakland,Oakland Unified,Alameda,CA,94603.0,1,Active,37.822947,-122.27445
Edna Brewer Middle,3748 13th Avenue,Oakland,Oakland Unified,Alameda,CA,94606.0,4,Active,37.803854,-122.22953999999999
Montera Middle,5555 Ascot Drive,Oakland,Oakland Unified,Alameda,CA,94606.0,5,Active,37.818785,-122.2016
Roosevelt Middle,1926 19th Avenue,Oakland,Oakland Unified,Alameda,CA,94605.0,1,Active,37.789693,-122.23793
Westlake Middle,2629 Harrison Street,Oakland,Oakland Unified,Alameda,CA,94601.0,1,Active,37.814592,-122.25991
Madison Park Academy 6-12,400 Capistrano Drive,Oakland,Oakland Unified,Alameda,CA,94606.0,1,Active,37.727775,-122.17918
La Escuelita Elementary,1100 Third Avenue,Oakland,Oakland Unified,Alameda,CA,94608.0,5,Active,37.796003999999996,-122.25726999999999
Hillside Academy,2369 84th Avenue,Oakland,Oakland Unified,Alameda,CA,94608.0,,Active,37.759698,-122.16673
Oakland Charter Academy,3001 International Boulevard,Oakland,Oakland Unified,Alameda,CA,94619.0,10,Active,37.778531,-122.22776
American Indian Public Charter,3637 Magee Avenue,Oakland,Oakland Unified,Alameda,CA,94601.0,10,Active,37.793407,-122.19951999999999
Aspire Monarch Academy,1445 101st Avenue,Oakland,Oakland Unified,Alameda,CA,94608.0,3,Active,37.742304,-122.16833000000001
North Oakland Community Charter,1000 42nd Street,Oakland,Oakland Unified,Alameda,CA,94611.0,9,Active,37.832839,-122.27623999999999
ASCEND,3709 East 12th Street,Oakland,Oakland Unified,Alameda,CA,94611.0,3,Active,37.774031,-122.22166000000001
International Community,2825 International Boulevard,Oakland,Oakland Unified,Alameda,CA,94611.0,3,Active,37.78008,-122.2305
Melrose Leadership Academy,4730 Fleming Avenue,Oakland,Oakland Unified,Alameda,CA,94611.0,1,Active,37.780326,-122.19779
Urban Promise Academy,3031 East 18th Street,Oakland,Oakland Unified,Alameda,CA,94611.0,4,Active,37.782323999999996,-122.22487
Millennium High Alternative,760 Magnolia Avenue,Piedmont,Piedmont City Unified,Alameda,CA,94566.0,,Active,37.822804,-122.23393
Piedmont High,800 Magnolia Avenue,Piedmont,Piedmont City Unified,Alameda,CA,94566.0,10,Active,37.823674,-122.2329
Beach Elementary,100 Lake Ave,Piedmont,Piedmont City Unified,Alameda,CA,94579.0,10,Active,37.824201,-122.24707
Havens Elementary,323 Highland Avenue,Piedmont,Piedmont City Unified,Alameda,CA,94579.0,10,Active,37.825712,-122.23263
Wildwood Elementary,301 Wildwood Ave,Piedmont,Piedmont City Unified,Alameda,CA,94577.0,10,Active,37.819701,-122.23495
Piedmont Middle,740 Magnolia Avenue,Piedmont,Piedmont City Unified,Alameda,CA,94577.0,10,Active,37.823132,-122.23353999999999
Alisal Elementary,1454 Santa Rita Road,Pleasanton,Pleasanton Joint Elementary,Alameda,CA,94577.0,9,Merged,37.672236,-121.87216000000001
Alisal Elementary,1454 Santa Rita Road,Pleasanton,Pleasanton Unified,Alameda,CA,94586.0,9,Active,37.672366,-121.87207
Fairlands Elementary,4151 W. Las Positas,Pleasanton,Pleasanton Joint Elementary,Alameda,CA,94577.0,10,Merged,37.691819,-121.87401000000001
Fairlands Elementary,4151 West Las Positas Boulevard,Pleasanton,Pleasanton Unified,Alameda,CA,94214.0,10,Active,37.692602,-121.87433
Valley View Elementary,480 Adams Way,Pleasanton,Pleasanton Joint Elementary,Alameda,CA,94578.0,9,Merged,37.659504999999996,-121.86358
Valley View Elementary,480 Adams Way,Pleasanton,Pleasanton Unified,Alameda,CA,94580.0,9,Active,37.659867999999996,-121.86362
Walnut Grove Elementary,1999 Harvest Road,Pleasanton,Pleasanton Joint Elementary,Alameda,CA,94577.0,10,Merged,37.673308,-121.88636000000001
Walnut Grove Elementary,1999 Harvest Road,Pleasanton,Pleasanton Unified,Alameda,CA,94551.0,10,Active,37.673219,-121.88537
Vintage Hills Elementary,1125 Concord Street,Pleasanton,Pleasanton Joint Elementary,Alameda,CA,94577.0,10,Merged,37.655681,-121.85486999999999
Vintage Hills Elementary,1125 Concord Street,Pleasanton,Pleasanton Unified,Alameda,CA,94551.0,10,Active,37.655902000000005,-121.85501000000001
San Leandro High,2200 Bancroft Avenue,San Leandro,San Leandro Unified,Alameda,CA,94577.0,3,Active,37.717128,-122.14256
Madison Elementary,14751 Juniper Street,San Leandro,San Leandro Unified,Alameda,CA,94580.0,8,Active,37.69549,-122.16045
McKinley Elementary,2150 East 14th Street,San Leandro,San Leandro Unified,Alameda,CA,94541.0,4,Active,37.718877,-122.14747
Monroe Elementary,3750 Monterey Boulevard,San Leandro,San Leandro Unified,Alameda,CA,94580.0,3,Active,37.698153999999995,-122.1462
Roosevelt Elementary,951 Dowling Boulevard,San Leandro,San Leandro Unified,Alameda,CA,94580.0,7,Active,37.736384,-122.14676000000001
